code_insee,annee,indicateur,valeur
59021,2024,encours_dette,240150.0
59022,2017,encours_dette,1188801.52
59022,2018,encours_dette,1116393.57
59022,2019,encours_dette,1065236.5
59022,2020,encours_dette,1013133.54
59022,2021,encours_dette,959429.33
59022,2022,encours_dette,909169.23
59022,2023,encours_dette,853883.21
59022,2024,encours_dette,797409.58
59023,2017,encours_dette,228133.56
59023,2018,encours_dette,170705.83
59023,2019,encours_dette,111193.64
59023,2020,encours_dette,49520.97
59023,2021,encours_dette,36090.21
59023,2022,encours_dette,376879.8
59023,2023,encours_dette,340864.87
59023,2024,encours_dette,304089.21
59024,2017,encours_dette,1637130.64
59024,2018,encours_dette,1487730.91
59024,2019,encours_dette,1798511.01
59024,2020,encours_dette,1566421.78
59024,2021,encours_dette,2830934.04
59024,2022,encours_dette,2535344.67
59024,2023,encours_dette,2784150.57
59024,2024,encours_dette,2520304.44
59025,2017,encours_dette,0.0
59025,2018,encours_dette,600.0
59025,2019,encours_dette,1250.0
59025,2020,encours_dette,0.0
59025,2021,encours_dette,1300.0
59025,2022,encours_dette,1300.0
59025,2023,encours_dette,3335.0
59025,2024,encours_dette,3300.0
59026,2017,encours_dette,194023.21
59026,2018,encours_dette,635473.04
59026,2019,encours_dette,613087.06
59026,2020,encours_dette,590292.53
59026,2021,encours_dette,567082.35
59026,2022,encours_dette,770448.75
59026,2023,encours_dette,629384.02
59026,2024,encours_dette,495130.29
59027,2017,encours_dette,979861.59
59027,2018,encours_dette,1044029.91
59027,2019,encours_dette,873369.31
59027,2020,encours_dette,741506.3
59027,2021,encours_dette,654886.71
59027,2022,encours_dette,564340.16
59027,2023,encours_dette,469688.53
59027,2024,encours_dette,370745.63
59028,2017,encours_dette,15511451.34
59028,2018,encours_dette,18664738.08
59028,2019,encours_dette,17530589.22
59028,2020,encours_dette,16376181.92
59028,2021,encours_dette,15211454.6
59028,2022,encours_dette,14021160.03
59028,2023,encours_dette,12982190.69
59028,2024,encours_dette,11637178.78
59029,2017,encours_dette,574144.8
59029,2018,encours_dette,525858.95
59029,2019,encours_dette,483175.0
59029,2020,encours_dette,445675.0
59029,2021,encours_dette,409675.0
59029,2022,encours_dette,378755.0
59029,2023,encours_dette,342505.0
59029,2024,encours_dette,304355.0
59031,2017,encours_dette,192094.66
59031,2018,encours_dette,167897.46
59031,2019,encours_dette,149137.18
59031,2020,encours_dette,129708.09
59031,2021,encours_dette,300096.43
59031,2022,encours_dette,277745.92
59031,2023,encours_dette,255160.65
59031,2024,encours_dette,232337.87
59032,2017,encours_dette,2348569.45
59032,2018,encours_dette,3174202.13
59032,2019,encours_dette,2896942.04
59032,2020,encours_dette,2625576.52
59032,2021,encours_dette,2373482.85
59032,2022,encours_dette,2265564.53
59032,2023,encours_dette,2059875.3
59032,2024,encours_dette,1851684.8
59033,2017,encours_dette,37332096.88
59033,2018,encours_dette,34419200.56
59033,2019,encours_dette,34492211.79
59033,2020,encours_dette,32731779.62
59033,2021,encours_dette,30991366.72
59033,2022,encours_dette,29758203.63
59033,2023,encours_dette,30309743.74
59033,2024,encours_dette,28224153.92
59034,2017,encours_dette,2943952.22
59034,2018,encours_dette,2621916.47
59034,2019,encours_dette,2266457.27
59034,2020,encours_dette,1900039.58
59034,2021,encours_dette,1648251.72
59034,2022,encours_dette,2354489.4
59034,2023,encours_dette,2041051.39
59034,2024,encours_dette,1835641.3
59035,2017,encours_dette,1219786.71
59035,2018,encours_dette,2563656.2
59035,2019,encours_dette,2781499.44
59035,2020,encours_dette,2574686.25
59035,2021,encours_dette,2917270.17
59035,2022,encours_dette,3289771.8
59035,2023,encours_dette,3226790.48
59035,2024,encours_dette,3005499.22
59036,2017,encours_dette,5348719.48
59036,2018,encours_dette,4874599.13
59036,2019,encours_dette,4791376.75
59036,2020,encours_dette,5807032.02
59036,2021,encours_dette,4778127.06
59036,2022,encours_dette,8075790.23
59036,2023,encours_dette,8943139.93
59036,2024,encours_dette,7722957.44
59037,2017,encours_dette,1372984.59
59037,2018,encours_dette,1233752.68
59037,2019,encours_dette,1694713.73
59037,2020,encours_dette,1524556.48
59037,2021,encours_dette,1349136.91
59037,2022,encours_dette,1579776.43
59037,2023,encours_dette,1417358.93
59037,2024,encours_dette,1278893.23
59038,2017,encours_dette,1706597.42
59038,2018,encours_dette,1560142.52
59038,2019,encours_dette,2115961.72
59038,2020,encours_dette,1970491.01
59038,2021,encours_dette,1121967.98
59038,2022,encours_dette,971808.33
59038,2023,encours_dette,821123.95
59038,2024,encours_dette,667037.77
59039,2017,encours_dette,294509.8
59039,2018,encours_dette,232696.84
59039,2019,encours_dette,167430.36
59039,2020,encours_dette,128114.79
59039,2021,encours_dette,179392.12
59039,2022,encours_dette,136776.53
59039,2023,encours_dette,92377.61
59039,2024,encours_dette,46100.0
59041,2017,encours_dette,942283.46
59041,2018,encours_dette,849519.91
59041,2019,encours_dette,754011.15
59041,2020,encours_dette,1122350.42
59041,2021,encours_dette,1095293.39
59041,2022,encours_dette,940799.97
59041,2023,encours_dette,847689.17
59041,2024,encours_dette,2477981.61
59042,2017,encours_dette,611860.64
59042,2018,encours_dette,563255.18
59042,2019,encours_dette,512809.0
59042,2020,encours_dette,460659.66
59042,2021,encours_dette,406897.58
59042,2022,encours_dette,351869.78
59042,2023,encours_dette,494949.95
59042,2024,encours_dette,419377.63
59043,2017,encours_dette,2335150.91
59043,2018,encours_dette,1855062.9
59043,2019,encours_dette,3556933.06
59043,2020,encours_dette,3945006.77
59043,2021,encours_dette,3513465.61
59043,2022,encours_dette,3097986.55
59043,2023,encours_dette,2702579.69
59043,2024,encours_dette,2381249.14
59044,2017,encours_dette,2522485.5
59044,2018,encours_dette,2292304.03
59044,2019,encours_dette,3554001.85
59044,2020,encours_dette,4788915.14
59044,2021,encours_dette,5992245.74
59044,2022,encours_dette,4188242.53
59044,2023,encours_dette,3876055.25
59044,2024,encours_dette,3556136.37
59045,2017,encours_dette,93431.81
59045,2018,encours_dette,37991.65
59045,2019,encours_dette,32956.35
59045,2020,encours_dette,117458.19
59045,2021,encours_dette,91906.09
59045,2022,encours_dette,66583.24
59045,2023,encours_dette,41071.59
59045,2024,encours_dette,15290.01
59046,2017,encours_dette,595958.78
59046,2018,encours_dette,556322.1
59046,2019,encours_dette,515408.65
59046,2020,encours_dette,701962.3
59046,2021,encours_dette,650847.78
59046,2022,encours_dette,502957.94
59046,2023,encours_dette,663043.55
59046,2024,encours_dette,621537.77
59047,2017,encours_dette,387550.13
59047,2018,encours_dette,360198.09
59047,2019,encours_dette,331319.28
59047,2020,encours_dette,302064.96
59047,2021,encours_dette,271184.17
59047,2022,encours_dette,239023.7
59047,2023,encours_dette,205527.9
59047,2024,encours_dette,170638.62
59048,2017,encours_dette,277587.33
59048,2018,encours_dette,243884.8
59048,2019,encours_dette,207108.8
59048,2020,encours_dette,267783.5
59048,2021,encours_dette,284899.66
59048,2022,encours_dette,282037.06
59048,2023,encours_dette,237213.44
59048,2024,encours_dette,280586.23
59049,2017,encours_dette,56186.0
59049,2018,encours_dette,103858.72
59049,2019,encours_dette,84751.96
59049,2020,encours_dette,65082.13
59049,2021,encours_dette,44825.55
59049,2022,encours_dette,296770.27
59049,2023,encours_dette,279647.98
59049,2024,encours_dette,131047.13
59050,2017,encours_dette,90930.03
59050,2018,encours_dette,78546.34
59050,2019,encours_dette,65859.67
59050,2020,encours_dette,182861.07
59050,2021,encours_dette,163817.01
59050,2022,encours_dette,319366.86
59050,2023,encours_dette,307382.79
59050,2024,encours_dette,119245.64
59051,2017,encours_dette,3837094.04
59051,2018,encours_dette,3693668.78
59051,2019,encours_dette,3553076.48
59051,2020,encours_dette,3522063.63
59051,2021,encours_dette,3489149.7
59051,2022,encours_dette,3454218.14
59051,2023,encours_dette,3417145.28
59051,2024,encours_dette,3377784.61
59052,2017,encours_dette,965932.9
59052,2018,encours_dette,2224770.07
59052,2019,encours_dette,2007839.27
59052,2020,encours_dette,2249276.91
59052,2021,encours_dette,2050736.7
59052,2022,encours_dette,1876506.23
59052,2023,encours_dette,1708689.11
59052,2024,encours_dette,1537865.17
59053,2017,encours_dette,2045797.43
59053,2018,encours_dette,1805032.47
59053,2019,encours_dette,1599534.17
59053,2020,encours_dette,1431189.3
59053,2021,encours_dette,2803307.85
59053,2022,encours_dette,2619933.02
59053,2023,encours_dette,2431857.85
59053,2024,encours_dette,2240057.29
59054,2017,encours_dette,329764.11
59054,2018,encours_dette,530836.71
59054,2019,encours_dette,468852.99
59054,2020,encours_dette,437148.13
59054,2021,encours_dette,405060.84
59054,2022,encours_dette,440186.31
59054,2023,encours_dette,402601.3
59054,2024,encours_dette,363894.26
59055,2017,encours_dette,377970.04
59055,2018,encours_dette,351724.01
59055,2019,encours_dette,325002.62
59055,2020,encours_dette,297792.45
59055,2021,encours_dette,270079.59
59055,2022,encours_dette,241849.61
59055,2023,encours_dette,213087.59
59055,2024,encours_dette,183778.06
59056,2017,encours_dette,0.06
59056,2018,encours_dette,0.06
59056,2019,encours_dette,0.06
59056,2020,encours_dette,0.06
