code_insee,annee,indicateur,valeur
59016,2022,dotations_par_habitant,60.69
59016,2023,dotations_par_habitant,62.78
59016,2024,dotations_par_habitant,61.38
59017,2020,dotations,13638463.0
59017,2021,dotations,13817188.0
59017,2022,dotations,14057259.0
59017,2023,dotations,14297616.0
59017,2024,dotations,14711542.0
59017,2020,dotations_par_habitant,539.33
59017,2021,dotations_par_habitant,548.32
59017,2022,dotations_par_habitant,554.51
59017,2023,dotations_par_habitant,556.93
59017,2024,dotations_par_habitant,565.09
59018,2020,dotations,712260.0
59018,2021,dotations,722654.0
59018,2022,dotations,609686.0
59018,2023,dotations,498880.0
59018,2024,dotations,508589.0
59018,2020,dotations_par_habitant,433.78
59018,2021,dotations_par_habitant,447.19
59018,2022,dotations_par_habitant,382.97
59018,2023,dotations_par_habitant,314.35
59018,2024,dotations_par_habitant,321.28
59019,2020,dotations,188679.0
59019,2021,dotations,185225.0
59019,2022,dotations,186367.0
59019,2023,dotations,192513.0
59019,2024,dotations,197147.0
59019,2020,dotations_par_habitant,174.38
59019,2021,dotations_par_habitant,172.3
59019,2022,dotations_par_habitant,171.77
59019,2023,dotations_par_habitant,178.42
59019,2024,dotations_par_habitant,181.37
59021,2020,dotations,29854.0
59021,2021,dotations,30336.0
59021,2022,dotations,30772.0
59021,2023,dotations,35670.0
59021,2024,dotations,39400.0
59021,2020,dotations_par_habitant,16.2
59021,2021,dotations_par_habitant,16.5
59021,2022,dotations_par_habitant,16.79
59021,2023,dotations_par_habitant,19.51
59021,2024,dotations_par_habitant,21.76
59022,2020,dotations,604247.0
59022,2021,dotations,614217.0
59022,2022,dotations,617497.0
59022,2023,dotations,613686.0
59022,2024,dotations,621459.0
59022,2020,dotations_par_habitant,261.69
59022,2021,dotations_par_habitant,267.4
59022,2022,dotations_par_habitant,269.06
59022,2023,dotations_par_habitant,270.82
59022,2024,dotations_par_habitant,273.77
59023,2020,dotations,55912.0
59023,2021,dotations,57688.0
59023,2022,dotations,58376.0
59023,2023,dotations,61788.0
59023,2024,dotations,61945.0
59023,2020,dotations_par_habitant,102.78
59023,2021,dotations_par_habitant,104.7
59023,2022,dotations_par_habitant,104.8
59023,2023,dotations_par_habitant,111.13
59023,2024,dotations_par_habitant,112.63
59024,2020,dotations,1457861.0
59024,2021,dotations,1493396.0
59024,2022,dotations,1529871.0
59024,2023,dotations,1588728.0
59024,2024,dotations,1601819.0
59024,2020,dotations_par_habitant,325.27
59024,2021,dotations_par_habitant,327.21
59024,2022,dotations_par_habitant,333.89
59024,2023,dotations_par_habitant,340.71
59024,2024,dotations_par_habitant,343.37
59025,2020,dotations,228651.0
59025,2021,dotations,225581.0
59025,2022,dotations,223559.0
59025,2023,dotations,234212.0
59025,2024,dotations,245493.0
59025,2020,dotations_par_habitant,136.18
59025,2021,dotations_par_habitant,134.04
59025,2022,dotations_par_habitant,131.27
59025,2023,dotations_par_habitant,135.15
59025,2024,dotations_par_habitant,139.41
59026,2020,dotations,212378.0
59026,2021,dotations,210400.0
59026,2022,dotations,209626.0
59026,2023,dotations,213966.0
59026,2024,dotations,217764.0
59026,2020,dotations_par_habitant,176.69
59026,2021,dotations_par_habitant,176.36
59026,2022,dotations_par_habitant,176.6
59026,2023,dotations_par_habitant,181.17
59026,2024,dotations_par_habitant,184.7
59027,2020,dotations,244956.0
59027,2021,dotations,251216.0
59027,2022,dotations,254844.0
59027,2023,dotations,261284.0
59027,2024,dotations,266491.0
59027,2020,dotations_par_habitant,144.43
59027,2021,dotations_par_habitant,145.8
59027,2022,dotations_par_habitant,147.99
59027,2023,dotations_par_habitant,150.34
59027,2024,dotations_par_habitant,152.8
59028,2020,dotations,1935608.0
59028,2021,dotations,1952418.0
59028,2022,dotations,1946090.0
59028,2023,dotations,2038525.0
59028,2024,dotations,2157527.0
59028,2020,dotations_par_habitant,264.57
59028,2021,dotations_par_habitant,267.78
59028,2022,dotations_par_habitant,267.54
59028,2023,dotations_par_habitant,281.68
59028,2024,dotations_par_habitant,298.7
59029,2020,dotations,369528.0
59029,2021,dotations,371944.0
59029,2022,dotations,374475.0
59029,2023,dotations,381587.0
59029,2024,dotations,386685.0
59029,2020,dotations_par_habitant,239.02
59029,2021,dotations_par_habitant,242.47
59029,2022,dotations_par_habitant,245.24
59029,2023,dotations_par_habitant,251.54
59029,2024,dotations_par_habitant,256.08
59031,2020,dotations,45984.0
59031,2021,dotations,47273.0
59031,2022,dotations,48226.0
59031,2023,dotations,53267.0
59031,2024,dotations,54998.0
59031,2020,dotations_par_habitant,123.61
59031,2021,dotations_par_habitant,126.06
59031,2022,dotations_par_habitant,127.58
59031,2023,dotations_par_habitant,140.18
59031,2024,dotations_par_habitant,145.88
59032,2020,dotations,3972928.0
59032,2021,dotations,3986381.0
59032,2022,dotations,4015334.0
59032,2023,dotations,4069900.0
59032,2024,dotations,4495846.0
59032,2020,dotations_par_habitant,534.43
59032,2021,dotations_par_habitant,540.16
59032,2022,dotations_par_habitant,548.09
59032,2023,dotations_par_habitant,560.05
59032,2024,dotations_par_habitant,617.48
59033,2020,dotations,2337429.0
59033,2021,dotations,2352024.0
59033,2022,dotations,2411037.0
59033,2023,dotations,2529261.0
59033,2024,dotations,2648186.0
59033,2020,dotations_par_habitant,256.63
59033,2021,dotations_par_habitant,259.43
59033,2022,dotations_par_habitant,263.79
59033,2023,dotations_par_habitant,277.88
59033,2024,dotations_par_habitant,292.49
59034,2020,dotations,59238.0
59034,2021,dotations,59402.0
59034,2022,dotations,57260.0
59034,2023,dotations,66794.0
59034,2024,dotations,73796.0
59034,2020,dotations_par_habitant,21.64
59034,2021,dotations_par_habitant,21.79
59034,2022,dotations_par_habitant,21.26
59034,2023,dotations_par_habitant,25.04
59034,2024,dotations_par_habitant,27.84
59035,2020,dotations,717445.0
59035,2021,dotations,736193.0
59035,2022,dotations,739967.0
59035,2023,dotations,743943.0
59035,2024,dotations,672703.0
59035,2020,dotations_par_habitant,283.13
59035,2021,dotations_par_habitant,295.78
59035,2022,dotations_par_habitant,305.27
59035,2023,dotations_par_habitant,314.96
59035,2024,dotations_par_habitant,288.34
59036,2020,dotations,2746771.0
59036,2021,dotations,2611816.0
59036,2022,dotations,2476964.0
59036,2023,dotations,2393419.0
59036,2024,dotations,2311238.0
59036,2020,dotations_par_habitant,591.72
59036,2021,dotations_par_habitant,580.4
59036,2022,dotations_par_habitant,569.94
59036,2023,dotations_par_habitant,555.45
59036,2024,dotations_par_habitant,541.53
59037,2020,dotations,1674128.0
59037,2021,dotations,1734970.0
59037,2022,dotations,1766501.0
59037,2023,dotations,1828909.0
59037,2024,dotations,1880197.0
59037,2020,dotations_par_habitant,453.94
59037,2021,dotations_par_habitant,470.56
59037,2022,dotations_par_habitant,480.16
59037,2023,dotations_par_habitant,497.39
59037,2024,dotations_par_habitant,513.43
59038,2020,dotations,145965.0
59038,2021,dotations,140992.0
59038,2022,dotations,136353.0
59038,2023,dotations,141829.0
59038,2024,dotations,146041.0
59038,2020,dotations_par_habitant,98.83
59038,2021,dotations_par_habitant,96.24
59038,2022,dotations_par_habitant,92.82
59038,2023,dotations_par_habitant,96.75
59038,2024,dotations_par_habitant,99.48
59039,2020,dotations,16492.0
59039,2021,dotations,16424.0
59039,2022,dotations,16736.0
59039,2023,dotations,19500.0
59039,2024,dotations,21568.0
59039,2020,dotations_par_habitant,19.73
59039,2021,dotations_par_habitant,19.67
59039,2022,dotations_par_habitant,20.02
