code_insee,nom_commune,departement,strate_perso,taux_tfpb,evol_2021_2024,rank_tfpb_dep_strate,ecart_tfpb_2024_vs_dep_strate_mean
62234,Conchy-sur-Canche,62,< 500 hab,37.15,0.0,0.7037861915367484,1.5967706013363028
62235,Condette,62,2000-3499 hab,52.76,0.0,0.8571428571428571,7.951224489795912
62236,Contes,62,< 500 hab,31.77,0.0,0.1325167037861915,-3.783229398663696
62237,Conteville-lès-Boulogne,62,500-1999 hab,40.46,1.2,0.7202797202797203,2.3211188811188848
62238,Conteville-en-Ternois,62,< 500 hab,35.24,0.0,0.4788418708240534,-0.3132293986636938
62239,Coquelles,62,2000-3499 hab,34.26,0.0,0.0612244897959183,-10.548775510204088
62240,Corbehem,62,2000-3499 hab,38.81,0.0,0.2040816326530612,-5.998775510204084
62241,Cormont,62,< 500 hab,35.15,0.0,0.4766146993318486,-0.4032293986636972
62242,Couin,62,< 500 hab,32.9,0.0,0.2394209354120267,-2.653229398663697
62243,Coullemont,62,< 500 hab,38.27,0.0,0.7839643652561247,2.7167706013363078
62244,Coulogne,62,5000-9999 hab,41.6,0.0,0.1041666666666666,-7.829791666666665
62245,Coulomby,62,500-1999 hab,40.26,1.0,0.7097902097902098,2.121118881118882
62246,Coupelle-Neuve,62,< 500 hab,43.72,-3.54,0.9710467706013364,8.166770601336303
62247,Coupelle-Vieille,62,500-1999 hab,35.14,0.0,0.2482517482517482,-2.9988811188811155
62248,Courcelles-le-Comte,62,< 500 hab,30.17,0.0,0.0757238307349666,-5.383229398663694
62249,Courcelles-lès-Lens,62,5000-9999 hab,40.6,0.0,0.0833333333333333,-8.829791666666665
62250,Courrières,62,10 000-19 999 hab,50.1,0.0,0.2941176470588235,-3.535294117647055
62251,Courset,62,500-1999 hab,35.77,0.0,0.3531468531468531,-2.368881118881113
62252,La Couture,62,2000-3499 hab,39.6,0.0,0.2755102040816326,-5.2087755102040845
62253,Couturelle,62,< 500 hab,39.57,0.0,0.8641425389755011,4.0167706013363045
62254,Coyecques,62,500-1999 hab,35.82,0.0,0.3566433566433566,-2.318881118881116
62255,Crémarest,62,500-1999 hab,41.34,0.0,0.7517482517482518,3.2011188811188878
62256,Crépy,62,< 500 hab,35.35,0.0,0.4955456570155902,-0.2032293986636943
62257,Créquy,62,< 500 hab,39.83,1.9,0.8819599109131403,4.276770601336303
62258,Croisette,62,< 500 hab,37.58,0.0,0.7427616926503341,2.0267706013363025
62259,Croisilles,62,500-1999 hab,40.96,0.0,0.7307692307692307,2.8211188811188848
62260,Croix-en-Ternois,62,< 500 hab,34.95,0.0,0.455456570155902,-0.603229398663693
62261,Cucq,62,5000-9999 hab,31.24,0.0,0.0208333333333333,-18.189791666666668
62262,Cuinchy,62,500-1999 hab,33.54,0.0,0.1660839160839161,-4.598881118881117
62263,Dainville,62,5000-9999 hab,43.31,0.85,0.2708333333333333,-6.119791666666664
62264,Dannes,62,500-1999 hab,46.45,1.35,0.9370629370629372,8.311118881118887
62265,Delettes,62,500-1999 hab,37.6,0.0,0.506993006993007,-0.5388811188811147
62266,Denier,62,< 500 hab,31.77,0.0,0.1325167037861915,-3.783229398663696
62267,Dennebrœucq,62,< 500 hab,34.69,0.0,0.4320712694877505,-0.8632293986636981
62268,Desvres,62,3500-4999 hab,49.34,0.49,0.7666666666666667,4.82233333333334
62269,Diéval,62,500-1999 hab,36.68,0.0,0.4195804195804196,-1.4588811188811164
62270,Divion,62,5000-9999 hab,54.53,-2.87,0.7916666666666666,5.100208333333335
62271,Dohem,62,500-1999 hab,37.47,0.0,0.5034965034965035,-0.6688811188811172
62272,Douchy-lès-Ayette,62,< 500 hab,40.3,0.0,0.9042316258351892,4.746770601336301
62273,Doudeauville,62,500-1999 hab,41.47,0.0,0.7552447552447552,3.3311188811188828
62274,Dourges,62,5000-9999 hab,47.94,0.0,0.4791666666666667,-1.4897916666666688
62275,Douriez,62,< 500 hab,38.61,0.0,0.8051224944320713,3.056770601336304
62276,Douvrin,62,5000-9999 hab,58.19,0.0,0.875,8.760208333333331
62277,Drocourt,62,2000-3499 hab,55.01,0.0,0.8979591836734694,10.201224489795912
62278,Drouvin-le-Marais,62,500-1999 hab,42.3,0.0,0.8041958041958042,4.161118881118881
62279,Duisans,62,500-1999 hab,34.86,0.0,0.2325174825174825,-3.2788811188811167
62280,Dury,62,< 500 hab,42.0,0.39,0.94543429844098,6.446770601336304
62281,Echinghen,62,< 500 hab,36.38,0.0,0.6325167037861915,0.8267706013363068
62282,Éclimeux,62,< 500 hab,31.26,0.0,0.1069042316258351,-4.293229398663694
62283,Écoivres,62,< 500 hab,34.51,0.0,0.4187082405345211,-1.0432293986636978
62284,Écourt-Saint-Quentin,62,500-1999 hab,40.3,0.0,0.7132867132867133,2.161118881118881
