annee,strate_perso,dette_hab_mean,dette_hab_median,taux_eb_mean,taux_eb_median,taux_invest_mean,taux_invest_median,poids_personnel_mean,poids_personnel_median,eb_calc_hab_mean,eb_calc_hab_median,depenses_inv_hab_mean,depenses_inv_hab_median,dette_hab_q25,dette_hab_q75,taux_eb_q25,taux_eb_q75,taux_invest_q25,taux_invest_q75,poids_personnel_q25,poids_personnel_q75,eb_calc_hab_q25,eb_calc_hab_q75,depenses_inv_hab_q25,depenses_inv_hab_q75
2017,< 500 hab,510.99249378971945,329.50113402061857,0.23509410678208817,0.2352279475425858,0.3315023083473134,0.2889426627726774,0.34130715502969955,0.34149891808392885,151.79008119905814,140.36754761904766,358.52425820353704,190.0781871345029,97.99424465240642,643.8383495568341,0.1496854728381501,0.32987743046061996,0.14835834532791806,0.4875910007530496,0.2557662243126776,0.4301690130553856,83.96083765360984,204.73191069595288,82.08171112296613,417.47286138835096
2017,500-1999 hab,508.50114111336205,419.43380066107295,0.17259620924867486,0.17030219486962603,0.3141067279769769,0.28669736189908673,0.45213393124205353,0.4587782209704215,113.76931509411796,104.70092404516063,297.7535119657597,211.25981038637025,227.00638690384716,685.9449248337357,0.10037230093205902,0.2535259339814105,0.19718485313060147,0.41345336056649995,0.40415812931452766,0.5079635594034491,60.812851712664695,154.49223677709477,124.11375804125998,351.9971307937346
2017,2000-3499 hab,590.8384431954179,483.6886316568048,0.16167935265333394,0.16136876423204277,0.2955460491496964,0.28453010116020916,0.5095708858873622,0.5157670608806217,131.59507825180995,123.2293317516805,311.38847558175115,263.6605662557781,253.7613004484305,815.854931556196,0.11570396409703898,0.2086823548739822,0.18860577558165068,0.38471903972766597,0.4670780090912045,0.5581195597298167,81.93081857536401,176.28908619877532,155.8194210703467,395.98198590647024
2017,3500-4999 hab,679.1874974997297,529.7113607727846,0.1371019754936919,0.12411005810883546,0.24641736655166438,0.21770815938785945,0.5459779194872769,0.5540920683557553,166.72238085276547,111.4289273667642,315.5893793534481,211.21768246802108,323.7807360208062,822.2048399634202,0.079296517098868,0.18448840765653993,0.15324296058371586,0.31366805210913556,0.5200876370162142,0.5898733922055212,74.59860460378893,171.19928016052165,151.49908187411265,378.7945308516063
2017,5000-9999 hab,719.3689603254455,615.7398529434208,0.1382458178265389,0.13111232166567027,0.2342448344394889,0.220796491519708,0.5750702302780302,0.5842818664955813,153.7719039974665,126.13802579378208,292.08106818589226,245.02121266576592,434.5068571542192,920.1777484431724,0.08765741851504455,0.17597955025672463,0.15754679231140367,0.29178377579185577,0.5388576938967516,0.6117650758134741,88.58856481312608,188.36616045412998,170.2581273287173,365.8584675362453
2017,10 000-19 999 hab,921.5855130618949,774.0611496629822,0.14183940169269546,0.12524010998459306,0.25086039499289664,0.2349788350212934,0.5805333202199127,0.5922805670453184,171.19886195743916,150.79093817526046,359.96617679091,308.3542724414329,566.2422202355871,1111.1246983152448,0.10461014151877805,0.1800987185930029,0.1878153755941361,0.29176640630625006,0.5441376081070706,0.6291005246883259,112.3982656403935,220.9952488464674,255.20090707769725,430.73373371488475
2017,20 000-49 999 hab,1067.6330055825194,1040.4749146871864,0.13497544186012522,0.14801884784758743,0.24181933244471523,0.24620616675012585,0.6054067979939854,0.6121184403536422,185.182671156955,201.1544204308547,390.4596901188918,419.61201470463953,851.602802668767,1314.8787855686273,0.1015247208501425,0.16603741196265262,0.15690993040943116,0.3128288343017598,0.5814690982594347,0.6334587414009832,126.14222864789951,231.94054225226026,214.92963156002875,518.9848776121346
2017,50 000-99 999 hab,1078.3957523504052,1103.8801442887438,0.10232618333073935,0.09040227531756055,0.21549579362206286,0.20626625530311166,0.5981637834584289,0.6247160517484427,148.97007061720134,140.6232768598231,360.9164419353942,367.68893255144894,881.6807465746631,1263.8727817603062,0.08277919819902202,0.11865739747419116,0.19150378927072137,0.2318849452447356,0.5319417170462604,0.6482027834674042,119.69131065740771,164.42528622447657,284.59875886524827,431.5981862031685
2017,100 000 hab et +,1668.1842505484917,1668.1842505484917,0.13478370018777147,0.13478370018777147,0.30077579866025417,0.30077579866025417,0.6286497254407067,0.6286497254407067,205.92382039675988,205.92382039675988,568.6176572797328,568.6176572797328,1668.1842505484917,1668.1842505484917,0.13478370018777147,0.13478370018777147,0.30077579866025417,0.30077579866025417,0.6286497254407067,0.6286497254407067,205.92382039675988,205.92382039675988,568.6176572797328,568.6176572797328
2018,< 500 hab,529.0685821763434,337.6540222990785,0.2247599584817798,0.22619099052332783,0.3548234781329635,0.31474077793787714,0.33616133791736086,0.33394934469891946,148.46616685791454,132.801655480226,407.7508994244801,214.43209888330773,103.73720236851271,648.249157413833,0.13611607737159193,0.3389031244672155,0.1790813591376569,0.499505923263506,0.2488831443821016,0.4182784900185531,75.69061997063145,215.04776239669428,98.4749869242878,495.5286434848216
2018,500-1999 hab,510.9244079224115,423.5345644599303,0.17258313470299783,0.16850885502211135,0.3330058642444658,0.30921502922822175,0.4493984645266681,0.45610630505699823,120.27235342054752,103.50714993804216,331.52347146745285,229.88229488703925,236.25337843951849,675.5771610438649,0.09856433448432644,0.2459151743719663,0.20063237477198576,0.4467125638821249,0.403766559016211,0.5029514333667857,59.0825066737288,157.76050547214479,133.92677683537994,393.5691191303775
