code_insee,nom_commune,departement,strate_perso,annee,taux_tfpb,n,mean,median,q25,q75,ecart_vs_median,ecart_vs_mean,position_bande
59009,Villeneuve-d'Ascq,59,50 000-99 999 hab,2023,50.67,4,49.7025,49.685,48.6375,50.75,0.9849999999999994,0.9675000000000011,entre_Q25_Q75
59009,Villeneuve-d'Ascq,59,50 000-99 999 hab,2024,50.67,4,49.697500000000005,49.685,48.6325,50.75,0.9849999999999994,0.9724999999999966,entre_Q25_Q75
59010,Anneux,59,< 500 hab,2021,37.2,128,31.66765625,31.05,28.6325,33.4525,6.150000000000002,5.532343750000003,au-dessus_Q75
59010,Anneux,59,< 500 hab,2022,37.2,128,31.834921875,31.16,28.8325,33.870000000000005,6.040000000000003,5.365078125000004,au-dessus_Q75
59010,Anneux,59,< 500 hab,2023,37.2,128,31.9228125,31.18,28.8325,33.870000000000005,6.020000000000003,5.277187500000004,au-dessus_Q75
59010,Anneux,59,< 500 hab,2024,37.2,128,32.04375,31.18,29.115,34.2525,6.020000000000003,5.15625,au-dessus_Q75
59011,Annœullin,59,10 000-19 999 hab,2021,47.81,32,47.8165625,47.35,44.0175,50.765,0.46000000000000085,-0.006562500000001137,entre_Q25_Q75
59011,Annœullin,59,10 000-19 999 hab,2022,47.81,32,48.1103125,47.61,45.025000000000006,50.3725,0.20000000000000284,-0.3003124999999969,entre_Q25_Q75
59011,Annœullin,59,10 000-19 999 hab,2023,47.81,32,48.5125,47.61,45.285,50.7875,0.20000000000000284,-0.7025000000000006,entre_Q25_Q75
59011,Annœullin,59,10 000-19 999 hab,2024,50.2,32,48.8865625,47.855,45.4925,50.92,2.345000000000006,1.3134375000000063,entre_Q25_Q75
59012,Anor,59,2000-3499 hab,2021,43.95,89,38.8370786516854,38.51,34.97,42.71,5.440000000000005,5.1129213483146,au-dessus_Q75
59012,Anor,59,2000-3499 hab,2022,43.95,89,38.949101123595504,38.6,34.97,42.71,5.350000000000001,5.000898876404499,au-dessus_Q75
59012,Anor,59,2000-3499 hab,2023,43.95,89,39.19370786516854,38.79,35.39,42.71,5.160000000000004,4.756292134831462,au-dessus_Q75
59012,Anor,59,2000-3499 hab,2024,43.95,89,39.23786516853933,38.9,35.5,42.71,5.050000000000004,4.7121348314606735,au-dessus_Q75
59013,Anstaing,59,500-1999 hab,2021,42.29,280,35.57325,34.925,31.5875,38.32,7.365000000000002,6.7167499999999976,au-dessus_Q75
59013,Anstaing,59,500-1999 hab,2022,42.29,280,35.752785714285714,35.21,31.68,38.445,7.079999999999998,6.537214285714285,au-dessus_Q75
59013,Anstaing,59,500-1999 hab,2023,42.29,280,35.95339285714286,35.370000000000005,31.9525,38.79,6.919999999999995,6.33660714285714,au-dessus_Q75
59013,Anstaing,59,500-1999 hab,2024,45.0,280,36.06057142857143,35.400000000000006,32.0075,38.9275,9.599999999999994,8.939428571428572,au-dessus_Q75
59014,Anzin,59,10 000-19 999 hab,2021,45.98,32,47.8165625,47.35,44.0175,50.765,-1.3700000000000045,-1.8365625000000065,entre_Q25_Q75
59014,Anzin,59,10 000-19 999 hab,2022,45.98,32,48.1103125,47.61,45.025000000000006,50.3725,-1.6300000000000026,-2.1303125000000023,entre_Q25_Q75
59014,Anzin,59,10 000-19 999 hab,2023,45.98,32,48.5125,47.61,45.285,50.7875,-1.6300000000000026,-2.532500000000006,entre_Q25_Q75
59014,Anzin,59,10 000-19 999 hab,2024,45.98,32,48.8865625,47.855,45.4925,50.92,-1.875,-2.9065624999999997,entre_Q25_Q75
59015,Arleux,59,2000-3499 hab,2021,38.12,89,38.8370786516854,38.51,34.97,42.71,-0.39000000000000057,-0.7170786516854051,entre_Q25_Q75
59015,Arleux,59,2000-3499 hab,2022,38.12,89,38.949101123595504,38.6,34.97,42.71,-0.480000000000004,-0.8291011235955068,entre_Q25_Q75
59015,Arleux,59,2000-3499 hab,2023,38.12,89,39.19370786516854,38.79,35.39,42.71,-0.6700000000000017,-1.0737078651685437,entre_Q25_Q75
59015,Arleux,59,2000-3499 hab,2024,38.12,89,39.23786516853933,38.9,35.5,42.71,-0.7800000000000011,-1.117865168539332,entre_Q25_Q75
59016,Armbouts-Cappel,59,2000-3499 hab,2021,38.94,89,38.8370786516854,38.51,34.97,42.71,0.4299999999999997,0.1029213483145952,entre_Q25_Q75
59016,Armbouts-Cappel,59,2000-3499 hab,2022,38.94,89,38.949101123595504,38.6,34.97,42.71,0.3399999999999963,-0.009101123595506522,entre_Q25_Q75
59016,Armbouts-Cappel,59,2000-3499 hab,2023,41.94,89,39.19370786516854,38.79,35.39,42.71,3.1499999999999986,2.7462921348314566,entre_Q25_Q75
59016,Armbouts-Cappel,59,2000-3499 hab,2024,41.94,89,39.23786516853933,38.9,35.5,42.71,3.039999999999999,2.7021348314606684,entre_Q25_Q75
59017,Armentières,59,20 000-49 999 hab,2021,50.67,18,45.97944444444445,47.445,39.785,49.1925,3.2250000000000014,4.690555555555555,au-dessus_Q75
59017,Armentières,59,20 000-49 999 hab,2022,55.67,18,46.18555555555556,47.445,39.5475,49.1925,8.225000000000001,9.484444444444442,au-dessus_Q75
59017,Armentières,59,20 000-49 999 hab,2023,55.67,18,46.50666666666667,47.47,40.02,50.405,8.200000000000003,9.163333333333334,au-dessus_Q75
59017,Armentières,59,20 000-49 999 hab,2024,55.67,18,46.58166666666667,47.47,41.2575,50.405,8.200000000000003,9.088333333333331,au-dessus_Q75
59018,Arnèke,59,500-1999 hab,2021,28.03,280,35.57325,34.925,31.5875,38.32,-6.894999999999996,-7.5432500000000005,sous_Q25
59018,Arnèke,59,500-1999 hab,2022,28.03,280,35.752785714285714,35.21,31.68,38.445,-7.18,-7.722785714285713,sous_Q25
59018,Arnèke,59,500-1999 hab,2023,29.43,280,35.95339285714286,35.370000000000005,31.9525,38.79,-5.940000000000005,-6.523392857142859,sous_Q25
59018,Arnèke,59,500-1999 hab,2024,29.43,280,36.06057142857143,35.400000000000006,32.0075,38.9275,-5.970000000000006,-6.630571428571429,sous_Q25
59019,Artres,59,500-1999 hab,2021,40.2,280,35.57325,34.925,31.5875,38.32,5.275000000000006,4.626750000000001,au-dessus_Q75
59019,Artres,59,500-1999 hab,2022,40.2,280,35.752785714285714,35.21,31.68,38.445,4.990000000000002,4.4472142857142885,au-dessus_Q75
59019,Artres,59,500-1999 hab,2023,40.2,280,35.95339285714286,35.370000000000005,31.9525,38.79,4.829999999999998,4.246607142857144,au-dessus_Q75
59019,Artres,59,500-1999 hab,2024,40.2,280,36.06057142857143,35.400000000000006,32.0075,38.9275,4.799999999999997,4.139428571428574,au-dessus_Q75
59021,Assevent,59,500-1999 hab,2021,30.17,280,35.57325,34.925,31.5875,38.32,-4.7549999999999955,-5.40325,sous_Q25
59021,Assevent,59,500-1999 hab,2022,30.17,280,35.752785714285714,35.21,31.68,38.445,-5.039999999999999,-5.582785714285713,sous_Q25
59021,Assevent,59,500-1999 hab,2023,30.17,280,35.95339285714286,35.370000000000005,31.9525,38.79,-5.200000000000003,-5.783392857142857,sous_Q25
59021,Assevent,59,500-1999 hab,2024,30.17,280,36.06057142857143,35.400000000000006,32.0075,38.9275,-5.230000000000004,-5.890571428571427,sous_Q25
59022,Attiches,59,2000-3499 hab,2021,39.2,89,38.8370786516854,38.51,34.97,42.71,0.6900000000000048,0.3629213483146003,entre_Q25_Q75
59022,Attiches,59,2000-3499 hab,2022,39.2,89,38.949101123595504,38.6,34.97,42.71,0.6000000000000014,0.2508988764044986,entre_Q25_Q75
59022,Attiches,59,2000-3499 hab,2023,39.2,89,39.19370786516854,38.79,35.39,42.71,0.4100000000000037,0.006292134831461738,entre_Q25_Q75
59022,Attiches,59,2000-3499 hab,2024,39.2,89,39.23786516853933,38.9,35.5,42.71,0.30000000000000426,-0.03786516853932653,entre_Q25_Q75
59023,Aubencheul-au-Bac,59,500-1999 hab,2021,46.55,280,35.57325,34.925,31.5875,38.32,11.625,10.976749999999996,au-dessus_Q75
59023,Aubencheul-au-Bac,59,500-1999 hab,2022,46.55,280,35.752785714285714,35.21,31.68,38.445,11.339999999999996,10.797214285714283,au-dessus_Q75
59023,Aubencheul-au-Bac,59,500-1999 hab,2023,46.55,280,35.95339285714286,35.370000000000005,31.9525,38.79,11.179999999999993,10.596607142857138,au-dessus_Q75
59023,Aubencheul-au-Bac,59,500-1999 hab,2024,46.55,280,36.06057142857143,35.400000000000006,32.0075,38.9275,11.149999999999991,10.489428571428569,au-dessus_Q75
59024,Auberchicourt,59,3500-4999 hab,2021,47.88,42,44.03238095238095,44.945,39.9575,48.0675,2.9350000000000023,3.8476190476190553,entre_Q25_Q75
59024,Auberchicourt,59,3500-4999 hab,2022,47.88,42,44.327619047619045,45.115,40.515,48.0675,2.7650000000000006,3.5523809523809575,entre_Q25_Q75
59024,Auberchicourt,59,3500-4999 hab,2023,47.88,42,45.00095238095238,45.18,41.575,49.0825,2.700000000000003,2.8790476190476255,entre_Q25_Q75
59024,Auberchicourt,59,3500-4999 hab,2024,47.88,42,44.800714285714285,45.115,41.575,48.575,2.7650000000000006,3.0792857142857173,entre_Q25_Q75
59025,Aubers,59,500-1999 hab,2021,35.97,280,35.57325,34.925,31.5875,38.32,1.0450000000000017,0.39674999999999727,entre_Q25_Q75
59025,Aubers,59,500-1999 hab,2022,35.97,280,35.752785714285714,35.21,31.68,38.445,0.759999999999998,0.21721428571428447,entre_Q25_Q75
59025,Aubers,59,500-1999 hab,2023,35.97,280,35.95339285714286,35.370000000000005,31.9525,38.79,0.5999999999999943,0.016607142857139934,entre_Q25_Q75
59025,Aubers,59,500-1999 hab,2024,35.97,280,36.06057142857143,35.400000000000006,32.0075,38.9275,0.5699999999999932,-0.09057142857142964,entre_Q25_Q75
59026,Aubigny-au-Bac,59,500-1999 hab,2021,31.57,280,35.57325,34.925,31.5875,38.32,-3.354999999999997,-4.003250000000001,sous_Q25
59026,Aubigny-au-Bac,59,500-1999 hab,2022,31.57,280,35.752785714285714,35.21,31.68,38.445,-3.6400000000000006,-4.182785714285714,sous_Q25
59026,Aubigny-au-Bac,59,500-1999 hab,2023,31.57,280,35.95339285714286,35.370000000000005,31.9525,38.79,-3.8000000000000043,-4.383392857142859,sous_Q25
59026,Aubigny-au-Bac,59,500-1999 hab,2024,31.57,280,36.06057142857143,35.400000000000006,32.0075,38.9275,-3.8300000000000054,-4.490571428571428,sous_Q25
59027,Aubry-du-Hainaut,59,500-1999 hab,2021,42.91,280,35.57325,34.925,31.5875,38.32,7.984999999999999,7.336749999999995,au-dessus_Q75
59027,Aubry-du-Hainaut,59,500-1999 hab,2022,42.91,280,35.752785714285714,35.21,31.68,38.445,7.699999999999996,7.157214285714282,au-dessus_Q75
59027,Aubry-du-Hainaut,59,500-1999 hab,2023,42.91,280,35.95339285714286,35.370000000000005,31.9525,38.79,7.539999999999992,6.956607142857138,au-dessus_Q75
59027,Aubry-du-Hainaut,59,500-1999 hab,2024,42.91,280,36.06057142857143,35.400000000000006,32.0075,38.9275,7.509999999999991,6.849428571428568,au-dessus_Q75
59028,Auby,59,5000-9999 hab,2021,62.29,53,44.7822641509434,42.99,40.64,47.43,19.299999999999997,17.5077358490566,au-dessus_Q75
59028,Auby,59,5000-9999 hab,2022,61.29,53,44.816792452830185,42.99,40.73,47.64,18.299999999999997,16.473207547169814,au-dessus_Q75
59028,Auby,59,5000-9999 hab,2023,60.29,53,44.81169811320755,42.99,40.73,48.29,17.299999999999997,15.478301886792451,au-dessus_Q75
59028,Auby,59,5000-9999 hab,2024,59.29,53,45.116037735849055,43.69,41.0,48.6,15.600000000000001,14.173962264150944,au-dessus_Q75
59029,Auchy-lez-Orchies,59,500-1999 hab,2021,34.77,280,35.57325,34.925,31.5875,38.32,-0.15499999999999403,-0.8032499999999985,entre_Q25_Q75
59029,Auchy-lez-Orchies,59,500-1999 hab,2022,34.77,280,35.752785714285714,35.21,31.68,38.445,-0.4399999999999977,-0.9827857142857113,entre_Q25_Q75
59029,Auchy-lez-Orchies,59,500-1999 hab,2023,35.47,280,35.95339285714286,35.370000000000005,31.9525,38.79,0.09999999999999432,-0.48339285714286007,entre_Q25_Q75
59029,Auchy-lez-Orchies,59,500-1999 hab,2024,35.47,280,36.06057142857143,35.400000000000006,32.0075,38.9275,0.06999999999999318,-0.5905714285714296,entre_Q25_Q75
59031,Audignies,59,< 500 hab,2021,26.29,128,31.66765625,31.05,28.6325,33.4525,-4.760000000000002,-5.377656250000001,sous_Q25
59031,Audignies,59,< 500 hab,2022,26.29,128,31.834921875,31.16,28.8325,33.870000000000005,-4.870000000000001,-5.544921875,sous_Q25
59031,Audignies,59,< 500 hab,2023,26.29,128,31.9228125,31.18,28.8325,33.870000000000005,-4.890000000000001,-5.6328125,sous_Q25
59031,Audignies,59,< 500 hab,2024,26.29,128,32.04375,31.18,29.115,34.2525,-4.890000000000001,-5.753750000000004,sous_Q25
59032,Aulnoy-lez-Valenciennes,59,5000-9999 hab,2021,39.63,53,44.7822641509434,42.99,40.64,47.43,-3.3599999999999994,-5.152264150943395,sous_Q25
59032,Aulnoy-lez-Valenciennes,59,5000-9999 hab,2022,39.63,53,44.816792452830185,42.99,40.73,47.64,-3.3599999999999994,-5.186792452830183,sous_Q25
59032,Aulnoy-lez-Valenciennes,59,5000-9999 hab,2023,39.63,53,44.81169811320755,42.99,40.73,48.29,-3.3599999999999994,-5.1816981132075455,sous_Q25
59032,Aulnoy-lez-Valenciennes,59,5000-9999 hab,2024,39.63,53,45.116037735849055,43.69,41.0,48.6,-4.059999999999995,-5.486037735849052,sous_Q25
59033,Aulnoye-Aymeries,59,5000-9999 hab,2021,46.53,53,44.7822641509434,42.99,40.64,47.43,3.539999999999999,1.7477358490566033,entre_Q25_Q75
59033,Aulnoye-Aymeries,59,5000-9999 hab,2022,46.53,53,44.816792452830185,42.99,40.73,47.64,3.539999999999999,1.7132075471698158,entre_Q25_Q75
59033,Aulnoye-Aymeries,59,5000-9999 hab,2023,46.53,53,44.81169811320755,42.99,40.73,48.29,3.539999999999999,1.718301886792453,entre_Q25_Q75
59033,Aulnoye-Aymeries,59,5000-9999 hab,2024,46.53,53,45.116037735849055,43.69,41.0,48.6,2.8400000000000034,1.4139622641509462,entre_Q25_Q75
59034,Avelin,59,2000-3499 hab,2021,27.68,89,38.8370786516854,38.51,34.97,42.71,-10.829999999999998,-11.157078651685403,sous_Q25
59034,Avelin,59,2000-3499 hab,2022,27.68,89,38.949101123595504,38.6,34.97,42.71,-10.920000000000002,-11.269101123595505,sous_Q25
59034,Avelin,59,2000-3499 hab,2023,27.68,89,39.19370786516854,38.79,35.39,42.71,-11.11,-11.513707865168541,sous_Q25
59034,Avelin,59,2000-3499 hab,2024,27.68,89,39.23786516853933,38.9,35.5,42.71,-11.219999999999999,-11.55786516853933,sous_Q25
59035,Avesnelles,59,2000-3499 hab,2021,33.84,89,38.8370786516854,38.51,34.97,42.71,-4.669999999999995,-4.997078651685399,sous_Q25
59035,Avesnelles,59,2000-3499 hab,2022,33.84,89,38.949101123595504,38.6,34.97,42.71,-4.759999999999998,-5.109101123595501,sous_Q25
59035,Avesnelles,59,2000-3499 hab,2023,33.84,89,39.19370786516854,38.79,35.39,42.71,-4.949999999999996,-5.353707865168538,sous_Q25
59035,Avesnelles,59,2000-3499 hab,2024,33.84,89,39.23786516853933,38.9,35.5,42.71,-5.059999999999995,-5.397865168539326,sous_Q25
59036,Avesnes-sur-Helpe,59,3500-4999 hab,2021,42.23,42,44.03238095238095,44.945,39.9575,48.0675,-2.7150000000000034,-1.8023809523809504,entre_Q25_Q75
59036,Avesnes-sur-Helpe,59,3500-4999 hab,2022,42.23,42,44.327619047619045,45.115,40.515,48.0675,-2.885000000000005,-2.097619047619048,entre_Q25_Q75
59036,Avesnes-sur-Helpe,59,3500-4999 hab,2023,42.23,42,45.00095238095238,45.18,41.575,49.0825,-2.950000000000003,-2.77095238095238,entre_Q25_Q75
59036,Avesnes-sur-Helpe,59,3500-4999 hab,2024,42.23,42,44.800714285714285,45.115,41.575,48.575,-2.885000000000005,-2.5707142857142884,entre_Q25_Q75
59037,Avesnes-les-Aubert,59,3500-4999 hab,2021,45.76,42,44.03238095238095,44.945,39.9575,48.0675,0.8149999999999977,1.7276190476190507,entre_Q25_Q75
59037,Avesnes-les-Aubert,59,3500-4999 hab,2022,47.26,42,44.327619047619045,45.115,40.515,48.0675,2.144999999999996,2.932380952380953,entre_Q25_Q75
59037,Avesnes-les-Aubert,59,3500-4999 hab,2023,47.26,42,45.00095238095238,45.18,41.575,49.0825,2.0799999999999983,2.259047619047621,entre_Q25_Q75
59037,Avesnes-les-Aubert,59,3500-4999 hab,2024,47.26,42,44.800714285714285,45.115,41.575,48.575,2.144999999999996,2.4592857142857127,entre_Q25_Q75
59038,Avesnes-le-Sec,59,500-1999 hab,2021,40.45,280,35.57325,34.925,31.5875,38.32,5.525000000000006,4.876750000000001,au-dessus_Q75
59038,Avesnes-le-Sec,59,500-1999 hab,2022,40.45,280,35.752785714285714,35.21,31.68,38.445,5.240000000000002,4.6972142857142885,au-dessus_Q75
59038,Avesnes-le-Sec,59,500-1999 hab,2023,40.45,280,35.95339285714286,35.370000000000005,31.9525,38.79,5.079999999999998,4.496607142857144,au-dessus_Q75
59038,Avesnes-le-Sec,59,500-1999 hab,2024,40.45,280,36.06057142857143,35.400000000000006,32.0075,38.9275,5.049999999999997,4.389428571428574,au-dessus_Q75
59039,Awoingt,59,500-1999 hab,2021,32.37,280,35.57325,34.925,31.5875,38.32,-2.5549999999999997,-3.203250000000004,entre_Q25_Q75
59039,Awoingt,59,500-1999 hab,2022,32.37,280,35.752785714285714,35.21,31.68,38.445,-2.8400000000000034,-3.382785714285717,entre_Q25_Q75
59039,Awoingt,59,500-1999 hab,2023,32.37,280,35.95339285714286,35.370000000000005,31.9525,38.79,-3.000000000000007,-3.5833928571428615,entre_Q25_Q75
59039,Awoingt,59,500-1999 hab,2024,32.37,280,36.06057142857143,35.400000000000006,32.0075,38.9275,-3.0300000000000082,-3.690571428571431,entre_Q25_Q75
59041,Bachant,59,2000-3499 hab,2021,47.78,89,38.8370786516854,38.51,34.97,42.71,9.270000000000003,8.942921348314599,au-dessus_Q75
59041,Bachant,59,2000-3499 hab,2022,47.78,89,38.949101123595504,38.6,34.97,42.71,9.18,8.830898876404497,au-dessus_Q75
59041,Bachant,59,2000-3499 hab,2023,47.78,89,39.19370786516854,38.79,35.39,42.71,8.990000000000002,8.58629213483146,au-dessus_Q75
59041,Bachant,59,2000-3499 hab,2024,47.78,89,39.23786516853933,38.9,35.5,42.71,8.880000000000003,8.542134831460672,au-dessus_Q75
59042,Bachy,59,500-1999 hab,2021,38.04,280,35.57325,34.925,31.5875,38.32,3.115000000000002,2.4667499999999976,entre_Q25_Q75
59042,Bachy,59,500-1999 hab,2022,38.04,280,35.752785714285714,35.21,31.68,38.445,2.8299999999999983,2.2872142857142848,entre_Q25_Q75
59042,Bachy,59,500-1999 hab,2023,38.04,280,35.95339285714286,35.370000000000005,31.9525,38.79,2.6699999999999946,2.08660714285714,entre_Q25_Q75
59042,Bachy,59,500-1999 hab,2024,38.04,280,36.06057142857143,35.400000000000006,32.0075,38.9275,2.6399999999999935,1.9794285714285706,entre_Q25_Q75
59043,Bailleul,59,10 000-19 999 hab,2021,38.31,32,47.8165625,47.35,44.0175,50.765,-9.04,-9.506562500000001,sous_Q25
59043,Bailleul,59,10 000-19 999 hab,2022,38.31,32,48.1103125,47.61,45.025000000000006,50.3725,-9.299999999999997,-9.800312499999997,sous_Q25
59043,Bailleul,59,10 000-19 999 hab,2023,38.31,32,48.5125,47.61,45.285,50.7875,-9.299999999999997,-10.2025,sous_Q25
59043,Bailleul,59,10 000-19 999 hab,2024,38.31,32,48.8865625,47.855,45.4925,50.92,-9.544999999999995,-10.576562499999994,sous_Q25
59044,Baisieux,59,5000-9999 hab,2021,38.66,53,44.7822641509434,42.99,40.64,47.43,-4.330000000000005,-6.122264150943401,sous_Q25
59044,Baisieux,59,5000-9999 hab,2022,40.29,53,44.816792452830185,42.99,40.73,47.64,-2.700000000000003,-4.526792452830186,sous_Q25
59044,Baisieux,59,5000-9999 hab,2023,40.29,53,44.81169811320755,42.99,40.73,48.29,-2.700000000000003,-4.521698113207549,sous_Q25
59044,Baisieux,59,5000-9999 hab,2024,40.29,53,45.116037735849055,43.69,41.0,48.6,-3.3999999999999986,-4.826037735849056,sous_Q25
59045,Baives,59,< 500 hab,2021,29.81,128,31.66765625,31.05,28.6325,33.4525,-1.240000000000002,-1.8576562500000016,entre_Q25_Q75
59045,Baives,59,< 500 hab,2022,29.81,128,31.834921875,31.16,28.8325,33.870000000000005,-1.3500000000000014,-2.0249218750000004,entre_Q25_Q75
59045,Baives,59,< 500 hab,2023,29.81,128,31.9228125,31.18,28.8325,33.870000000000005,-1.370000000000001,-2.1128125000000004,entre_Q25_Q75
59045,Baives,59,< 500 hab,2024,29.81,128,32.04375,31.18,29.115,34.2525,-1.370000000000001,-2.233750000000004,entre_Q25_Q75
59046,Bambecque,59,500-1999 hab,2021,36.03,280,35.57325,34.925,31.5875,38.32,1.105000000000004,0.45674999999999955,entre_Q25_Q75
59046,Bambecque,59,500-1999 hab,2022,37.03,280,35.752785714285714,35.21,31.68,38.445,1.8200000000000003,1.2772142857142867,entre_Q25_Q75
59046,Bambecque,59,500-1999 hab,2023,37.03,280,35.95339285714286,35.370000000000005,31.9525,38.79,1.6599999999999966,1.0766071428571422,entre_Q25_Q75
59046,Bambecque,59,500-1999 hab,2024,37.03,280,36.06057142857143,35.400000000000006,32.0075,38.9275,1.6299999999999955,0.9694285714285726,entre_Q25_Q75
59047,Banteux,59,< 500 hab,2021,29.43,128,31.66765625,31.05,28.6325,33.4525,-1.620000000000001,-2.2376562500000006,entre_Q25_Q75
59047,Banteux,59,< 500 hab,2022,30.04,128,31.834921875,31.16,28.8325,33.870000000000005,-1.120000000000001,-1.794921875,entre_Q25_Q75
59047,Banteux,59,< 500 hab,2023,30.04,128,31.9228125,31.18,28.8325,33.870000000000005,-1.1400000000000006,-1.8828125,entre_Q25_Q75
59047,Banteux,59,< 500 hab,2024,30.04,128,32.04375,31.18,29.115,34.2525,-1.1400000000000006,-2.0037500000000037,entre_Q25_Q75
